iteration_id,stage_name,plan_success,exec_success,plan_time_ms,exec_time_ms,retries_used,fail_reason,timestamp
26,attach,1,1,0.00,0.00,0,SUCCESS,1768755001.906
26,lift,1,1,2360.46,3210.17,0,SUCCESS,1768755007.478
26,pre_place,1,1,1168.17,4006.69,0,SUCCESS,1768755012.653
26,place,1,1,2270.32,7006.80,0,SUCCESS,1768755021.931
26,open_gripper,1,1,29.54,460.34,0,SUCCESS,1768755022.421
26,detach,1,1,0.00,0.00,0,SUCCESS,1768755022.421
26,retreat,1,1,434.47,5308.48,0,SUCCESS,1768755028.165
27,home,1,1,32.72,4311.29,0,SUCCESS,1768755033.510
27,reset_object,1,1,0.00,0.00,0,SUCCESS,1768755033.511
27,pre_grasp,1,1,1041.03,3058.82,0,SUCCESS,1768755037.612
27,grasp,0,0,5274.08,0.00,2,PLAN_FAIL,1768755054.877
28,home,1,1,25.48,3062.68,0,SUCCESS,1768755058.966
28,reset_object,1,1,0.00,0.00,0,SUCCESS,1768755058.968
28,pre_grasp,1,1,432.80,4406.32,0,SUCCESS,1768755063.807
28,grasp,1,1,846.15,2159.69,1,SUCCESS,1768755072.575
28,close_gripper,1,1,36.47,561.74,0,SUCCESS,1768755073.174
28,attach,1,1,0.00,0.00,0,SUCCESS,1768755073.174
28,lift,1,1,1036.86,3409.44,0,SUCCESS,1768755077.621
28,pre_place,1,1,1845.04,5864.04,1,SUCCESS,1768755087.301
28,place,1,1,442.83,5417.13,0,SUCCESS,1768755093.162
28,open_gripper,1,1,24.80,457.42,0,SUCCESS,1768755093.644
28,detach,1,1,0.00,0.00,0,SUCCESS,1768755093.644
28,retreat,1,1,1143.43,4708.14,0,SUCCESS,1768755099.496
